sym,n,net,pf
ARB_USDT_SWAP,3,-3.0,0.0
PEPE_USDT_SWAP,5,-2.5,0.375
WIF_USDT_SWAP,2,-2.0,0.0
BCH_USDT_SWAP,2,-2.0,0.0
FET_USDT_SWAP,4,-1.5,0.5
FIL_USDT_SWAP,1,-1.0,0.0
EGLD_USDT_SWAP,1,-1.0,0.0
COMP_USDT_SWAP,1,-1.0,0.0
ENA_USDT_SWAP,1,-1.0,0.0
XRP_USDT_SWAP,1,-1.0,0.0
GRT_USDT_SWAP,1,-1.0,0.0
APT_USDT_SWAP,3,-0.5,0.75
LTC_USDT_SWAP,2,0.5,1.5
AXS_USDT_SWAP,2,0.5,1.5
DOT_USDT_SWAP,2,0.5,1.5
CRV_USDT_SWAP,2,0.5,1.5
TRX_USDT_SWAP,2,0.5,1.5
SNX_USDT_SWAP,2,0.5,1.5
SUI_USDT_SWAP,2,0.5,1.5
SUSHI_USDT_SWAP,2,0.5,1.5
FLOKI_USDT_SWAP,4,1.0,1.5
NEAR_USDT_SWAP,4,1.0,1.5
STX_USDT_SWAP,1,1.5,inf
XLM_USDT_SWAP,1,1.5,inf
LDO_USDT_SWAP,1,1.5,inf
ICP_USDT_SWAP,1,1.5,inf
DOGE_USDT_SWAP,1,1.5,inf
DYDX_USDT_SWAP,1,1.5,inf
SAND_USDT_SWAP,1,1.5,inf
CHZ_USDT_SWAP,1,1.5,inf
BONK_USDT_SWAP,1,1.5,inf
1INCH_USDT_SWAP,1,1.5,inf
LINK_USDT_SWAP,3,2.0,3.0
ETH_USDT_SWAP,3,2.0,3.0
ADA_USDT_SWAP,3,2.0,3.0
GMX_USDT_SWAP,3,2.0,3.0
UNI_USDT_SWAP,3,2.0,3.0
SHIB_USDT_SWAP,3,2.0,3.0
ATOM_USDT_SWAP,5,2.5,2.25
IMX_USDT_SWAP,5,2.5,2.25
BTC_USDT_SWAP,2,3.0,inf
AAVE_USDT_SWAP,2,3.0,inf
ETC_USDT_SWAP,2,3.0,inf
OP_USDT_SWAP,7,3.0,2.0
BNB_USDT_SWAP,4,3.5,4.5
AVAX_USDT_SWAP,3,4.5,inf
HBAR_USDT_SWAP,3,4.5,inf
INJ_USDT_SWAP,6,6.5,7.5
